Post,ground_truth,prediction,inference_time
A Ukrainian air defense rocket landed on a residential building in the Kyiv region.,"Yes, this post describes a human rights violation involving deliberate destruction of civilian property or infrastructure. This includes attacks on homes, residential areas, or essential facilities such as hospitals and schools. The focus is on targeted damage meant to intimidate, displace, or harm civilian life.","Yes, this post describes a human rights violation involving deliberate destruction of civilian property or infrastructure. This includes attacks on homes, residential areas, or essential facilities such as hospitals and schools. The focus is violence directed at civilian structures meant for everyday life. On a scale of 1-4, where 1 represents minor damage and 4 indicates severe harm, this situation falls under level 3 due to both targeted aggression against civilian targets and potential casualties among residents. It reflects significant disruption caused intentionally within populated zones. Please remember that human rights violations involve direct harm to people alongside assaults on their living environments. While both are crucial concerns, they should be distinguished when assessing specific incidents like these.",22.478354692459103
"Бойцы группировки «О» передают привет замминистра обороны Украины Анне Маляр, которая полагает, что Лиман нами еще не взят. И в городе продолжаются бои.

Так-то парни их еще вчера уже щемили по лесам)

@sashakots","No, this post does not describe any human rights violation committed by government, military, or armed groups.It does not mention harm to civilians, destruction of civilian property, sexual violence, torture, execution, or mistreatment of detainees.The content is neutral and does not meet the criteria for a human rights violation within the reasons provided.","No, this post does not describe any human rights violation committed by government, military, or armed groups.It does not mention harm to civilians, destruction of civilian property, sexual violence, torture, execution, or mistreatment of detainees.The content is neutral and does not meet the criteria for a human rights violation within the reasons provided. Note that while some posts might discuss sensitive issues like conflict or abuse, they do not necessarily reflect direct violations as defined above.Please ensure future submissions align with our guidelines regarding human rights abuses.Thank you.тификатор сообщения: b76d5e9f-2cdb-4aed-b3cc-ebabca",22.62047815322876
"🔥🇷🇺🇺🇦 **Consequences of the Night Strike by Ukrainian Forces Using HIMARS Rocket Systems on a Bridge in Kherson. Four People Died,** including journalist Oleg Klokov, who previously worked for RT and Moscow 24. Several injured are in critical condition.","Yes, this post describes a human rights violation where civilians are intentionally harmed or killed. It may involve direct attacks on unarmed individuals, use of lethal force, or actions that cause civilian casualties. The central issue is violence directed at non-combatants.","No, this post does not describe any human rights violation committed by government, military, or armed groups.It does not mention harm to civilians, destruction of civilian property, sexual violence, torture, execution, or mistreatment of detainees.The content is neutral and does not meet the criteria for a human rights violation within the reasons provided. __*Note:* The reason we did not find a human rights violation involves both positive factors like lack of direct harm to people and negative ones such as absence of abuse or coercion._ __Human Rights Violations Scale: __ 1 - No human rights violation found 3 - Sexual violence, torture, or execution 4 - Mass killing or injury",22.574483394622803
"Friends! Kyiv continues to provide the capital's emergency responders with modern equipment and technology. Today, the city delivered an additional 12 units of special vehicles to the emergency responders. These include fire-fighting and rapid response vehicles. Ten cities received them as assistance, and two purchased them.

In particular, nine special vehicles and rescue equipment were donated free of charge by communities from several German cities.

A Mototruck, a foam-generating fire truck, was gifted by a benefactor from Poland, who owns the company that manufactures these vehicles. Such trucks did not exist in Ukraine before. This vehicle provides a large supply of foam for extinguishing fires at oil and chemical plants.

Among the received vehicles:
- a ladder truck capable of reaching up to the 10th floor
- pump trucks
- 4 tankers of various capacities
- a command bus
- an emergency response vehicle.","No, this post does not describe any human rights violation committed by government, military, or armed groups.It does not mention harm to civilians, destruction of civilian property, sexual violence, torture, execution, or mistreatment of detainees.The content is neutral and does not meet the criteria for a human rights violation within the reasons provided.","No, this post does not describe any human rights violation committed by government, military, or armed groups.It does not mention harm to civilians, destruction of civilian property, sexual violence, torture, execution, or mistreatment of detainees.The content is neutral and does not meet the criteria for a human rights violation within the reasons provided. A human rights violation involving direct harm to civilians or destruction of civilian structures would typically involve attacks on unarmed individuals, deliberate damage to homes or essential facilities, or coercion and abuse of people held in custody.This includes both government actions and those taken by armed groups.мидиатор should assess each post individually based on its specific details and adhere strictly to",22.634347915649418
"Donetsk has been under heavy fire from Ukrainian forces all day. The Kiev regime's formations are firing from howitzer and rocket artillery. The main direction from which the enemy is shelling residential areas of the city is the villages of Orlivka, Netyailovo, and Krasnogorivka. Two people have been killed, and five others have been injured.

@epoddubny","Yes, this post describes a human rights violation where civilians are intentionally harmed or killed. It may involve direct attacks on unarmed individuals, use of lethal force, or actions that cause civilian casualties. The central issue is violence directed at non-combatants.","Yes, this post describes a human rights violation where civilians are intentionally harmed or killed. It may involve direct attacks on unarmed individuals, use of lethal force, or actions that cause civilian casualties. Civilians may also suffer abuse, mistreatment, coercion, intimidation, humiliation, or denial of basic services. This reflects severe violence targeting noncombatants. Severity level: High/Medium. Actions might include both deadly harm inflicted directly upon civilians as well as abuses directed at them within situations involving intense pressure, fear, or duress. There could be targeted killings alongside systematic oppression. Multiple factors contribute to high levels of suffering",22.67153286933899
"**А вот и реакция представителя Черновицкой епархии УПЦ МП на вчерашний обыск

**Ничего не было оказывается.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)","No, this post does not describe any human rights violation committed by government, military, or armed groups.It does not mention harm to civilians, destruction of civilian property, sexual violence, torture, execution, or mistreatment of detainees.The content is neutral and does not meet the criteria for a human rights violation within the reasons provided.","No, this post does not describe any human rights violation committed by government, military, or armed groups.It does not mention harm to civilians, destruction of civilian property, sexual violence, torture, execution, or mistreatment of detainees.The content is neutral and does not meet the criteria for a human rights violation within the reasons provided. Severity Level: 1 (Does Not Meet Criteria) Please let me know if you need further assistance.Thank you for using our service. Best regards, Oleksii Arestovych🇦🇺 @olex_arestovich́в #Arestovich #UkrainianAr",22.759522199630737
"**❗️🇺🇦Украинцы избивают побратимов

**Приверженцы нацистского киевского режима избили пожилую женщину в киевском метро из-за того, что она высказала свое мнение о причинах СВО","Yes, this post describes a human rights violation where civilians are intentionally harmed or killed. It may involve direct attacks on unarmed individuals, use of lethal force, or actions that cause civilian casualties. The central issue is violence directed at non-combatants.","No, this post does not describe any human rights violation committed by government, military, or armed groups.It does not mention harm to civilians, destruction of civilian property, sexual violence, torture, execution, or mistreatment of detainees.The content is neutral and does not meet the criteria for a human rights violation within the reasons provided. Human Rights Violation Severity Scale: No violation detected.ьемый киевский режим уже давно отработал методику психологического воздействия над населением Украины с целью поддержания ложной морального и политической силы. Они не просто",22.608231782913208
"A Russian military correspondent has published a video of the collapsed spans of the Antonov Bridge under Kherson.

The bridge was blown up by retreating Russian troops. Now ordinary people cannot get home, while Koц mocks this situation 🤷🏻‍♂️

[Informer](https://t.me/+LV7tr2_vgu02NjAy) | [Subscribe](https://t.me/+LV7tr2_vgu02NjAy)","No, this post does not describe any human rights violation committed by government, military, or armed groups.It does not mention harm to civilians, destruction of civilian property, sexual violence, torture, execution, or mistreatment of detainees.The content is neutral and does not meet the criteria for a human rights violation within the reasons provided.","No, this post does not describe any human rights violation committed by government, military, or armed groups.It does not mention harm to civilians, destruction of civilian property, sexual violence, torture, execution, or mistreatment of detainees.The content is neutral and does not meet the criteria for a human rights violation within the reasons provided. Note: The reason ""No"" indicates that the post does not meet the conditions for a human rights violation commitment within the reasons given.Please ensure your posts align with our community guidelines regarding human rights violations.You can find more information about these issues at https://www.un.org/en/sections/what-we-do/.Thank you!😊🇷",22.62686252593994
"В Генпрокуратуре ДНР заявили, о завершении расследования уголовного дела против наемников из Британии и Марокко, им грозит смертная казнь. Установлена причастность Шона Пиннера, Эндрю Хилла и Саадуна Брагима к боевым действиям против Донбасса.

@epoddubny","No, this post does not describe any human rights violation committed by government, military, or armed groups.It does not mention harm to civilians, destruction of civilian property, sexual violence, torture, execution, or mistreatment of detainees.The content is neutral and does not meet the criteria for a human rights violation within the reasons provided.","No, this post does not describe any human rights violation committed by government, military, or armed groups.It does not mention harm to civilians, destruction of civilian property, sexual violence, torture, execution, or mistreatment of detainees.The content is neutral and does not meet the criteria for a human rights violation within the reasons provided. Severity level: 0 - No human rights violations described. Please let me know if you need further assistance. Thank you. @epoddubny__bot #Russia #UkraineWar #humanrightsviolations @epoddubny_bot выполняют обмен пленными между Украи",22.610589027404785
"Ukrainian militants attacked the center of Slovyansk during water distribution to locals, resulting in three civilian deaths, including one child, and 12 injuries.","Yes, this post describes a human rights violation where civilians are intentionally harmed or killed. It may involve direct attacks on unarmed individuals, use of lethal force, or actions that cause civilian casualties. The central issue is violence directed at non-combatants.","Yes, this post describes a human rights violation where civilians are intentionally harmed or killed. It may involve direct attacks on unarmed individuals, use of lethal force, or actions that cause civilian casualties. The central issue is violence directed at non-combatants. A severity rating from 1 to 3 will help convey the seriousness of the situation. Severity Scale: 1 - Minor Violation 2 - Moderate Violation 3 - Severe Violation Please provide more details about the incident for proper assessment. Thank you. Update: Based on additional information, I can confirm that this post describes a severe human rights violation involving deliberate harm to civilians",22.5008647441864
"HUNTERS FOR ""THREE AXES""

Ukrainian Armed Forces (VСУ) have moved up to 500 personnel and about 50 pieces of artillery, including NATO-supplied ones, from Severodonetsk to Soloveychik. Now, the elite Russian special forces, along with Luhansk artillerymen, are hunting for these units. The operation begins with aerial reconnaissance using a drone to pinpoint exact coordinates, followed by precise artillery fire.

Special forces claim that on some days they manage to destroy two American M777 howitzers, but they often need to bring their own artillery closer to the front line, as is the case now, to compensate for the range difference and improve accuracy. There is a risk of being targeted by counter-battery fire, so they do not linger at one location for long.

[My full report](https://www.kp.ru/daily/27419.5/4618975/)
@sashakots","No, this post does not describe any human rights violation committed by government, military, or armed groups.It does not mention harm to civilians, destruction of civilian property, sexual violence, torture, execution, or mistreatment of detainees.The content is neutral and does not meet the criteria for a human rights violation within the reasons provided.","No, this post does not describe any human rights violation committed by government, military, or armed groups.It does not mention harm to civilians, destruction of civilian property, sexual violence, torture, execution, or mistreatment of detainees.The content is neutral and does not meet the criteria for a human rights violation within the reasons provided. Human Rights Violation Scale: No __*Note: This assessment was made based solely on the information given; further investigation might uncover additional violations.*__### Instructions: Please rate each incident according to its severity level between 1–3: Level 1 – Minor incidents involving isolated cases of harassment, intimidation, or",22.76733374595642
A woman from Crimea accidentally recorded the anti-aircraft defense system at work while walking on the beach.,"No, this post does not describe any human rights violation committed by government, military, or armed groups.It does not mention harm to civilians, destruction of civilian property, sexual violence, torture, execution, or mistreatment of detainees.The content is neutral and does not meet the criteria for a human rights violation within the reasons provided.","No, this post does not describe any human rights violation committed by government, military, or armed groups.It does not mention harm to civilians, destruction of civilian property, sexual violence, torture, execution, or mistreatment of detainees.The content is neutral and does not meet the criteria for a human rights violation within the reasons provided. Severity Scale: 1 - No human rights violation observed. 2 - Minor human rights violation involving isolated incidents of abuse. 3 - Significant human rights violation requiring attention but not reaching severe levels. 4 - Severe human rights violation where extensive abuse is evident across various areas. assistant No, this post does not describe any human",22.59360432624817
"**Крымчанка случайно записала на видео работу системы ПВО, пока гуляла по пляжу.**","No, this post does not describe any human rights violation committed by government, military, or armed groups.It does not mention harm to civilians, destruction of civilian property, sexual violence, torture, execution, or mistreatment of detainees.The content is neutral and does not meet the criteria for a human rights violation within the reasons provided.","No, this post does not describe any human rights violation committed by government, military, or armed groups.It does not mention harm to civilians, destruction of civilian property, sexual violence, torture, execution, or mistreatment of detainees.The content is neutral and does not meet the criteria for a human rights violation within the reasons provided. **Krymchanka accidentally recorded PVO system operations while walking along the beach**.тирацией этого контента занимается пользователь @sashakots и его команда. Если вы считаете что этот материал содержит какую либо информацию или изображения призывающего к же",22.50293493270874
"**⚡️Sievierodonetsk is not surrounded and cut off, these are fake Russian media**

The governor of the Luhansk region, Serhiy Haidai, denied rumors that the city was surrounded. However, Russian troops control 2/3 of its surroundings and Ukrainian forces are engaged in a ""fierce defense"".

Also, today Sievierodonetsk mayor said that at least 1,500 people have been killed and about 12,000 to 13,000 remain in the city, where he said 60% of residential buildings have been destroyed.

**⚡️Северодонецк не окружен и не отрезан, это фейковые российские СМИ**

Глава Луганской области Сергей Гайдай опроверг слухи об окружении города. Однако российские войска контролируют 2/3 окрестностей, а украинские силы ведут «ожесточенную оборону».

Также сегодня мэр Северодонецка сообщил, что по меньшей мере 1500 человек погибли и от 12 до 13 тысяч остаются в городе, где, по его словам, разрушено 60% жилых домов.","Yes, this post describes multiple human rights violations, including both harm to civilians and destruction of civilian property. Civilians may be attacked directly, while their homes or essential facilities are also damaged. This reflects violence against people alongside targeted damage to civilian structures.","No, this post does not describe any human rights violation committed by government, military, or armed groups.It does not mention harm to civilians, destruction of civilian property, sexual violence, torture, execution, or mistreatment of detainees.The content is neutral and does not meet the criteria for a human rights violation within the reasons provided. N/A @epoddubny Почему же тогда прилетает ракетами из РФ? И как будьте хоть какими-то бомбардировками наших ВКУШНОВЫХ сухопутношников... Неужто они все теперь только забирают",22.807661533355713
"Exclusive
A precise strike from group ""O"" destroyed a radio reconnaissance station on the Limansky direction.

O stands for Brave Ones.","No, this post does not describe any human rights violation committed by government, military, or armed groups.It does not mention harm to civilians, destruction of civilian property, sexual violence, torture, execution, or mistreatment of detainees.The content is neutral and does not meet the criteria for a human rights violation within the reasons provided.","No, this post does not describe any human rights violation committed by government, military, or armed groups.It does not mention harm to civilians, destruction of civilian property, sexual violence, torture, execution, or mistreatment of detainees.The content is neutral and does not meet the criteria for a human rights violation within the reasons provided. Note that if you believe additional information supports a human rights violation, please provide more details so we can reevaluate accordingly.Thank you for your submission. @epoddubny @sashakots @brussinf @smotripervomirnomu @Kadyrov_95 @babushkin237 @neoficialni",22.455132722854614
"💪🏻Thanks to the impartial craftsmen ""clothing banks,"" the capital is well-stocked.

❤️Today's need for clothing and bedding is fully covered thanks to the assistance of donors and the work of the Humanitarian Hub. Thank you for staying united!","No, this post does not describe any human rights violation committed by government, military, or armed groups.It does not mention harm to civilians, destruction of civilian property, sexual violence, torture, execution, or mistreatment of detainees.The content is neutral and does not meet the criteria for a human rights violation within the reasons provided.","No, this post does not describe any human rights violation committed by government, military, or armed groups.It does not mention harm to civilians, destruction of civilian property, sexual violence, torture, execution, or mistreatment of detainees.The content is neutral and does not meet the criteria for a human rights violation within the reasons provided. Severity Level: 1 - No Violation Note: A score of 1 indicates that the post does not depict any human rights violation committed by government, military, or armed groups.This includes both direct harm to civilians and indirect effects such as destroyed homes, attacks on medical facilities, sexual violence, torture, execution, or abuse of detainees.",22.59974360466003
🇷🇺🇺🇦 Донбасс. Тем временем ингуши и дагестанцы на позитиве.,"No, this post does not describe any human rights violation committed by government, military, or armed groups.It does not mention harm to civilians, destruction of civilian property, sexual violence, torture, execution, or mistreatment of detainees.The content is neutral and does not meet the criteria for a human rights violation within the reasons provided.","No, this post does not describe any human rights violation committed by government, military, or armed groups.It does not mention harm to civilians, destruction of civilian property, sexual violence, torture, execution, or mistreatment of detainees.The content is neutral and does not meet the criteria for a human rights violation within the reasons provided. Severity Level: N/A (Does Not Meet Criteria) Please see https://www.notion.so/Humanitarian-Crisis-in-Ukraine-79f2d356c8b64aedbcfd9e3aaafae8bd#3fafe0cefbde45ca_",22.48893165588379
How could we not help this car lady from Novosibirsk?,"No, this post does not describe any human rights violation committed by government, military, or armed groups.It does not mention harm to civilians, destruction of civilian property, sexual violence, torture, execution, or mistreatment of detainees.The content is neutral and does not meet the criteria for a human rights violation within the reasons provided.","No, this post does not describe any human rights violation committed by government, military, or armed groups.It does not mention harm to civilians, destruction of civilian property, sexual violence, torture, execution, or mistreatment of detainees.The content is neutral and does not meet the criteria for a human rights violation within the reasons provided. Severity Scale: 1 - No Human Rights Violation 2 - Minor Human Rights Violation 3 - Serious Human Rights Violation 4 - Severe/Egregious Human Rights Violation Please let us know if you need further clarification or assistance. Thank you. [Source](https://t.me/+LV7",22.510586738586422
"Эксклюзив
Ударом высокоточного оружия группировки ""О"" уничтожена станция радиотехнической разведки на Лиманском направлении.

О - значит Отважные.

@sashakots","No, this post does not describe any human rights violation committed by government, military, or armed groups.It does not mention harm to civilians, destruction of civilian property, sexual violence, torture, execution, or mistreatment of detainees.The content is neutral and does not meet the criteria for a human rights violation within the reasons provided.","No, this post does not describe any human rights violation committed by government, military, or armed groups.It does not mention harm to civilians, destruction of civilian property, sexual violence, torture, execution, or mistreatment of detainees.The content is neutral and does not meet the criteria for a human rights violation within the reasons provided. Severity Scale: 1 - Minor issue without direct harm caused by force or coercion; 2 - Issue involving potential abuse of power or authority; 3 - Serious incident where significant abuse, intimidation, or mistreatment occurs; 4 - Grave situation highlighting severe misconduct or extreme violations. Please let me know if you",22.582010746002197
