,Unnamed: 0,Index,Post,Trans,Label,Type,Severity,Confidence,Explanation
1210,1210,8211,"**⚡️Украинская армия готовится к новому возможному вторжению российских войск с северного направления в начале 2023 года

**""**Мы живем с мыслью, что они снова будут наступать.** Это наша задача"", —сообщил командующий ОК ""Юг"", генерал-майор Андрей Ковальчук.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)","**⚡️The Ukrainian army is preparing for a potential new Russian invasion from the northern direction at the beginning of 2023.

**""**We live with the thought that they will attack again.** This is our task,""** General Major Andriy Kovalyuk, commander of OK ""South,"" reported.

[Source](https://t.me/+LV7tr2_vgu02NjAy) | [Subscribe](https://t.me/+LV7tr2_vgu02NjAy)",,,,,
1211,1211,8212,"**⚡️Мобилизация в России не завершена, а приостановлена, — заявил военком подмосковных городов

**Он добавил, что срок службы в РФ увеличат:** срочники, призванные осенью 2023, будут служить не 1,5 года, а 2**.

На болотах, видимо, огромные проблемы с пушечным мясом.

**UPD: всё. Видео удалили😅

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)","**⚡️Military conscription in Russia is not completed but has been suspended, a military conscription officer for suburban cities stated.**

He also added that the service term in Russia will be increased: conscripts called up in the fall of 2023 will serve not 1.5 years, but 2 years.

There must be huge problems with manpower on the marshes.

**UPD: That's all. The video has been deleted😅**

[Informer](https://t.me/+LV7tr2_vgu02NjAy) | [Subscribe](https://t.me/+LV7tr2_vgu02NjAy)",,,,,
1212,1212,8213,"**""Мы долго шутили про украинскую армию, но теперь как-то не до шуток. Мы шутили про американское оружие, уже как бы тоже не очень смешно""

**У русни что-то с лицом🌚

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)","We used to joke about the Ukrainian army, but now somehow it's not funny anymore. We joked about American weapons too; it's already not very amusing.

The Russians seem to have lost their sense of humor. [Informer](https://t.me/+LV7tr2_vgu02NjAy) | [Subscribe](https://t.me/+LV7tr2_vgu02NjAy)",,,,,
1213,1213,8214,"**❗️В Беларуси взлетели 2 МиГа 31К носители ""Кинжалов"", ДРЛО Ил-76 А-50У, который обнаруживает точки ударов и передает их пилотам истребителям и как минимум 1 истребитель

**Сейчас будет тревога по всей Украине. 

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)","**❗️In Belarus, two MiG-31Ks carrying Kinzhals (hypersonic missiles) took off, along with Il-76 A-50U DRLO, which detects strike targets and transmits this information to the pilots of interceptors, and at least one interceptor.

**A nationwide alert will now be issued in Ukraine.**

[Source](https://t.me/+LV7tr2_vgu02NjAy) | [Subscribe](https://t.me/+LV7tr2_vgu02NjAy)",,,,,
1214,1214,8215,"**""Каховка будет оставлена российскими войсками до конца этого года"", — **[**Генштаб ВСУ **](https://www.facebook.com/GeneralStaff.ua/posts/484399300539820)**сообщает, что такую информацию среди местных жителей распространяет русня

**Также, рашисты **отводят часть своих войск из Каховки и Новой Каховки** (левый берег Херсонщины) в район н.п. Нижние Сирогозы.

Готовят ""жест доброй воли""?😏

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)","**""Kakhovka will be left by Russian troops until the end of this year,""** — the General Staff of the Ukrainian Armed Forces reports, noting that local residents are spreading this information among Russians.

**Additionally, the russophiles have withdrawn some of their troops from Kakhovka and New Kakhovka (the left bank of Kherson Oblast) to the area around Nizhnie Sirogozy.

Are they preparing a ""gesture of goodwill""? 😏

[Source](https://t.me/+LV7tr2_vgu02NjAy) | [Subscribe](https://t.me/+LV7tr2_vgu02NjAy)",,,,,
1215,1215,8216,"**Готов выйти на ринг с Путиным и набить ему морду, **– Зеленский 😏

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)","**Ready to step into the ring with Putin and punch him in the face,** – Zelensky 😏

[Informant] | [Subscribe]",,,,,
1216,1216,8217,"**Вчера вечером в Крыму был «хлопок», а уже через некоторое время движение по мосту в Керчи на выезд из полуострова было парализовано**

Вы куда?

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)","Yesterday evening in Crimea there was an ""explosion,"" and soon after, the movement across the bridge in Kerch from the peninsula was paralyzed.

Where are you going?

[Informant](https://t.me/+LV7tr2_vgu02NjAy) | [Subscribe](https://t.me/+LV7tr2_vgu02NjAy)",,,,,
1217,1217,8218,"**Из сельського** **колодца в Сумской области вместо питьевой воды внезапно полилась нефть

**Жидкость отправили на анализ, но инспектор по охране окружающей среды, выехавший на место, подтвердил, что **""из колодца льется вязкая жидкость темного цвета с характерным запахом нефти"".

**Природа намекает, как может😏

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)","**Oil Instead of Drinking Water Flowing from a Rural Well in Sumy Oblast**

**The liquid was sent for analysis, but an environmental inspector who arrived at the scene confirmed that ""oil, a viscous dark-colored liquid with a characteristic oil odor, is flowing from the well.""**

**Nature is hinting at what could happen 😏**

[Source](https://t.me/+LV7tr2_vgu02NjAy) | [Subscribe](https://t.me/+LV7tr2_vgu02NjAy)",,,,,
1218,1218,8219,"**Хоршим русским — хорошие скидки**😏

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)","**Good Russians — good discounts**😉

[Informant](https://t.me/+LV7tr2_vgu02NjAy) | [Subscribe](https://t.me/+LV7tr2_vgu02NjAy)",,,,,
1219,1219,8220,"**Средств ПВО Украины не хватает, чтобы прикрыть все стратегические объекты от ударов**, **— Арестович

""Мы вынуждены маневрировать средствами ПВО, угадывать направление, куда полетят ракеты, встречать их заранее **и т. д., потому что прикрыть все объекты мы не имеем никакой возможности**.** Слишком большая страна"", — сказал он.

Но, очевидно в арсенале нашей ПВО скоро будут пополнения😏

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)","**Ukraine's air defense systems are insufficient to cover all strategic objects from missile strikes** — Zelenskyi.

""We are forced to maneuver our air defense systems, guessing the direction in which the rockets will fly, and intercept them in advance, etc., because we have no way of covering all the objects. It's too big a country,"" he said.

But clearly, soon there will be reinforcements in our air defense arsenal 😏

[Informer](https://t.me/+LV7tr2_vgu02NjAy) | [Subscribe](https://t.me/+LV7tr2_vgu02NjAy)",,,,,
1220,1220,8221,"**Метро в Киеве завтра вряд ли поедет, — депутат Киевсовета 

**Новости для киевлян конечно не очень, но, хорошо что завтра выходной.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)","**The metro in Kyiv will likely not run tomorrow,** — a Kyiv City Council deputy said.

**Of course, this is not good news for Kyiv residents, but at least tomorrow is a weekend.**

[Informer](https://t.me/+LV7tr2_vgu02NjAy) | [Subscribe](https://t.me/+LV7tr2_vgu02NjAy)",,,,,
1221,1221,8222,"**Ну а как еще спастись жителям Германии, если не бежать в Калининград?🤡

**Вата, вкусно?

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)","**What else can residents of Germany do to escape if not flee to Kaliningrad? 🤡

Are you all just mindlessly following?

[Informer](https://t.me/+LV7tr2_vgu02NjAy) | [Subscribe](https://t.me/+LV7tr2_vgu02NjAy)",,,,,
1222,1222,8223,"**Сегодня все мишени россиян были гражданскими: пострадала энергетика и теплоснабжение. Слово ""террор"" для мира будет ассоциироваться с сумасшедшими поступками России, — Зеленский

**Президент также поблагодарил силы ПВО и всех бойцов за блестящую работу.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)","**Today, all the targets of Russians were civilian: energy and heating infrastructure suffered damage. The word 'terror' for the world will be associated with Russia's insane actions, — Zelensky**

**The president also thanked the air defense forces and all soldiers for their outstanding work.**

[Informer](https://t.me/+LV7tr2_vgu02NjAy) | [Subscribe](https://t.me/+LV7tr2_vgu02NjAy)",,,,,
1223,1223,8224,"**⚡️Укрэнерго отменяет режим чрезвычайной ситуации в энергосистеме 

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)","**⚡️Ukraines Energy Company Cancels Emergency Situation in the Energy System**

[Informant](https://t.me/+LV7tr2_vgu02NjAy) | [Subscribe](https://t.me/+LV7tr2_vgu02NjAy)",,,,,
1224,1224,8225,"**Очередной перл от фанатов мобилизации на России: если ты мертв — ты не употребляешь

**Годный лайфхак, не поспоришь🤷🏻

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)","Here's the translation:

**Another gem from the supporters of mobilization in Russia: if you're dead, you don't consume.

**A valid life hack, no argument there🤷🏻

[Informant](https://t.me/+LV7tr2_vgu02NjAy) | [Subscribe](https://t.me/+LV7tr2_vgu02NjAy)",,,,,
1225,1225,8226,"**США признают право Украины планировать и проводить военные операции в Крыму, поскольку считают полуостров украинской территорией, — представитель Белого Дома Джон Кирби

**Русня, лицо?

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)","**The US acknowledges Ukraine's right to plan and conduct military operations in Crimea, considering the peninsula part of Ukrainian territory, according to White House representative John Kirby.**

**Russian propaganda, person?**

[Informant](https://t.me/+LV7tr2_vgu02NjAy) | [Subscribe](https://t.me/+LV7tr2_vgu02NjAy)",,,,,
1226,1226,8227,"**Между Россией и Украиной преговоров не будет, а ситуация** **может** **зайти в тупик** — [**Politico

**](https://www.politico.eu/article/vladimir-putin-volodymyr-zelenskyy-forget-negotiations-officials-see-war-stretching-for-months-or-years/)""По словам нынешних и бывших официальных лиц, Украина и Россия, похоже, движутся к потенциальному тупику, и ни одна из сторон не видит преимуществ в открытии переговоров на завершающей стадии"", — говорится в материале.

Причин несколько: президент России Владимир **Путин слишком далеко зашел, чтобы изменить курс - это может даже означать его отставку**. А стабильные **поставки западного оружия позволяют украинцам продолжать сражаться.** Но ни украиская ни российская сторона не располагает ресурсом для ""быстрой победы"".

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)","There will be no negotiations between Russia and Ukraine, and the situation could reach a deadlock — [Politico](https://www.politico.eu/article/vladimir-putin-volodymyr-zelenskyy-forget-negotiations-officials-see-war-stretching-for-months-or-years/)

According to current and former officials, it seems that Ukraine and Russia are moving towards a potential deadlock, with neither side seeing any advantage in opening up negotiations at this late stage. 

Several reasons for this include: Russian President Vladimir Putin has gone too far to change course, which could even mean his resignation. Stable supplies of Western weapons allow Ukrainians to continue fighting. However, neither the Ukrainian nor the Russian side has the resources for a quick victory.

[Informer](https://t.me/+LV7tr2_vgu02NjAy) | [Subscribe](https://t.me/+LV7tr2_vgu02NjAy)",,,,,
1227,1227,8228,"**""Ракеты добра"" сегодня лупили по Украине, а вы что подумали?**🤡

У одноклеточных не заканчивается вдохновение.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)","**""Rockets of kindness"" were pounding Ukraine today, and what did you think?** 😂

Creatures with one cell never run out of inspiration.

[Informer](https://t.me/+LV7tr2_vgu02NjAy) | [Subscribe](https://t.me/+LV7tr2_vgu02NjAy)",,,,,
1228,1228,8229,"⚡️**ДТЭК отключилось от энергосистемы из-за сегодняшнего обстрела, — заявление компании

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)","⚡️**DTEK disconnected from the power system due to today's shelling, — company statement

**[Informant](https://t.me/+LV7tr2_vgu02NjAy) | [Subscribe](https://t.me/+LV7tr2_vgu02NjAy)",,,,,
1229,1229,8230,"**Боец терробороны на Киевщине сбил ракету из пулемета**💪🏻

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)","**A counter-terrorist unit fighter in Kyiv Oblast shot down a rocket with a machine gun**💪🏻

[Informer](https://t.me/+LV7tr2_vgu02NjAy) | [Subscribe](https://t.me/+LV7tr2_vgu02NjAy)",,,,,
1230,1230,8231,"**⚡️США могут предоставить Украине новое оружие из-за **[**возможного наступления**](https://t.me/c/1457892982/30478)** РФ на Киев, — **[**Politico

**](https://www.politico.com/news/2022/12/15/u-s-eyes-new-weapons-for-ukraine-00074153?fbclid=IwAR39hXkSAtlWSTySNnJ6sX_JQZHJ6riGn8gVetUYy-jf2xk-KVuLPq6yB50)Администрация рассматривает передачу Украине:
▪️**системы ПРО Patriot**;
▪️**комплекты боеприпасов для прямого наведения, **которые превращают неуправляемые авиационные боеприпасы в ""умные"" бомбы;
▪️наземные бомбы малого диаметра, которые значительно** увеличат дальность удара**. 

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)","**⚡️The U.S. may provide Ukraine with new weapons due to **[**potential Russian offensive**](https://t.me/c/1457892982/30478)** on Kyiv, according to **[**Politico**](https://www.politico.com/news/2022/12/15/u-s-eyes-new-weapons-for-ukraine-00074153?fbclid=IwAR39hXkSAtlWSTySNnJ6sX_JQZHJ6riGn8gVetUYy-jf2xk-KVuLPq6yB50).**

The administration is considering providing Ukraine with:
- **Patriot missile defense systems**;
- **Guidance kits for unguided aerial bombs**, turning them into precision-guided munitions;
- Small diameter bombs that will significantly increase the range of strikes.

[Source](https://t.me/+LV7tr2_vgu02NjAy) | [Subscribe](https://t.me/+LV7tr2_vgu02NjAy)",,,,,
1231,1231,8232,"⚡️**Первый груз аварийно-ремонтного оборудования от Штатов уже прибыл в Украину**, — **посол США в Украине Бриджит Бринк

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)","⚡️**The first shipment of emergency repair equipment from the United States has already arrived in Ukraine**, — **U.S. Ambassador to Ukraine Bridget Brink**

**[Informer](https://t.me/+LV7tr2_vgu02NjAy) | [Subscribe](https://t.me/+LV7tr2_vgu02NjAy)**",,,,,
1232,1232,8233,"**Во время воздушных тревог ДТЭК будет выключать электроэнергию по всей Киевской области, — мэр Ирпеня 

**""Это делается для того, чтобы избежать возможных серьезных аварий. То есть если по графику у вас должен появиться свет, но есть тревога, то его не будет. Имейте это в виду"", - заявил Александр Маркушин. 

Такие нововведения могут распространиться** и на другие регионы.

UPD: **Мэр Ирпеня по непонятным причинам удалил свое обращение.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)","During air raid alerts, DTEK will be cutting electricity across the Kyiv region, — stated Irpen's Mayor.

This is done to avoid potential serious accidents. So, if your power was scheduled to come on but there's an alert, it won't. Keep this in mind, said Alexander Markushin.

Such changes may be implemented in other regions as well.

UPDATE: Irpen's Mayor removed his message for unknown reasons.

[Informer](https://t.me/+LV7tr2_vgu02NjAy) | [Subscribe](https://t.me/+LV7tr2_vgu02NjAy)",,,,,
1233,1233,8234,"**⚡️ПВО Украины сегодня сбила 60 российских ракет. Всего было выпущено 76 ракет, — Залужный

**Сообщается, что из районов Каспийского и Черного морей противник выпустил по объектам критической инфраструктуры Украины **76 ракет, из них 72 крылатых (Х-101, ""Калибр"", Х-22) и 4 управляемых авиационных ракет (Х-59). /Х-31П).

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)","**⚡️Ukraine's air defense shot down 60 Russian rockets today. A total of 76 rockets were launched, according to Zaluzhny.**

It is reported that from the Caspian and Black Sea regions, the enemy launched 76 rockets at critical infrastructure objects in Ukraine, of which 72 were cruise missiles (Kh-101, Kalibr, Kh-22) and 4 were guided aviation rockets (Kh-59). /Kh-31P.

**[Source](https://t.me/+LV7tr2_vgu02NjAy) | [Subscribe](https://t.me/+LV7tr2_vgu02NjAy)**",,,,,
1234,1234,8235,"⚡️**Метро в Киеве сегодня работать не будет, об этом объявил диспетчер подземки

**Метро **не может возобновить работу из-за дефицита электроэнергии,** сообщил главный инженер столичного метрополитена Виктор Выговский.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)","⚡️**The metro in Kyiv will not be operating today, as announced by the subway dispatcher.**

**The metro cannot resume operations due to a power shortage,** reported Viktor Vygovsky, the chief engineer of the Kyiv metro.

[Informant](https://t.me/+LV7tr2_vgu02NjAy) | [Subscribe](https://t.me/+LV7tr2_vgu02NjAy)",,,,,
1235,1235,8236,"**Из-за обстрела повреждены около 9 объектов генерации Украины. Среди них станции и подстанции, которые передают электроэнергию, что повлекло ограничение производства по объектам атомной генерации, — Галущенко
** 
[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)","Approximately 9 Ukrainian power generation facilities were damaged due to bombardment. Among them are stations and substations that transmit electricity, which led to production restrictions at nuclear power plant sites. — Galyutenko
[Informant](https://t.me/+LV7tr2_vgu02NjAy) | [Subscribe](https://t.me/+LV7tr2_vgu02NjAy)",,,,,
1236,1236,8237,"**Что значит наступление чрезвычайной ситуации в энергетике:

**""Из-за повреждений подстанций и генерирующих мощностей** нет технической возможности обеспечить электричеством более 50% потребителей страны** (!) (включая критическую инфраструктуру). То есть, нет возможности ни выработать больше энергии, ни транспортировать её"", — Директор ""Центра исследований энергетики"" Харченко.

Запаситесь терпением. Со светом теперь будут проблемы.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)","**What Does an Emergency Situation in Energy Mean:

""Due to damage to substations and generating capacities, there is no technical possibility to supply electricity to more than 50% of the country's consumers (including critical infrastructure). That means there is no way to produce more energy or transport it,"" — Director of the ""Center for Energy Research"" Kharchenko.

Prepare for patience. There will now be problems with the lights.

[Informer](https://t.me/+LV7tr2_vgu02NjAy) | [Subscribe](https://t.me/+LV7tr2_vgu02NjAy)",,,,,
1237,1237,8238,"**❗️Укрэнерго объявило чрезвычайную ситуацию, — сообщает пресс-служба

**В результате ракетных обстрелов со стороны России произошла потеря более 50% потребления Объединенной энергетической системы.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)","**❗️Ukraines' energy company Ukrenergo has declared a state of emergency, reports the press service.

As a result of rocket attacks by Russia, more than 50% of the consumption of the Unified Energy System was lost.

[Source](https://t.me/+LV7tr2_vgu02NjAy) | [Subscribe](https://t.me/+LV7tr2_vgu02NjAy)",,,,,
1238,1238,8239,"**⚡️Рядом с Киевом было более 40 ракет, 37 удалось сбить, — представитель КГВА Михаил Шаманов

**Киев выдержал **одну из самых больших ракетных атак с начала полномасштабного вторжения**.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)","**⚡️More than 40 rockets were nearby Kyiv, and 37 were shot down,** — said Mihail Shamano, a representative of the Kyiv Military Administration.

**Kyiv withstood one of the largest rocket attacks since the start of the full-scale invasion.**

[Informer](https://t.me/+LV7tr2_vgu02NjAy) | [Subscribe](https://t.me/+LV7tr2_vgu02NjAy)",,,,,
