Index,Post,Trans,Label,Type
25.0,"**«Всё, не заплачьте, а то мне сейчас больно будет, ладно? Всё, успокойтесь, пожалуйста, не плачьте. Я могу с вами побыть, я хочу, чтобы вы успокоились»: **житель Петербурга попытался ограбить ломбард на проспекте Науки, но сотрудница заплакала, из-за чего мужчина впал в ступор.

Ранимый грабитель начал разговаривать с ней по душам, чтобы успокоить, и ушёл ни с чем, пожелав хороших праздников после трогательного диалога.

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","Don’t cry or I’m going to get hurt, okay? Okay, calm down, please don't cry. I can be with you, I want you to calm down"": a resident of St. Petersburg tried to rob a pawnshop on Science Avenue, but the employee began to cry, because of which the man fell into a stupor.

The vulnerable robber began to talk to her heart to calm her down, and left with nothing, wishing her good holidays after a touching dialogue.

[е Subscribe to Gesture of the Day](https://t.me/zvoinaukraina)",,
26.0,"🫠**«Самое ужасное было, когда я летел эконом-классом» – Гном Гномыч поделился актуальными проблемами типичного 9-летнего ребенка**

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","“The worst was when I was flying economy class” – Gnom Gnomych shared the current problems of a typical 9-year-old child**

[е Subscribe to Gesture of the Day](https://t.me/zvoinaukraina)",,
27.0,"Настроение на Новый год

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","New Year's mood

[е Subscribe to Gesture of the Day](https://t.me/zvoinaukraina)",,
28.0,"⚡️** Зеленский: Украина идет к победе, о которой мечтал Бандера.**",Zelensky: Ukraine is on its way to the victory Bandera dreamed of,,
29.0,"Ну хоть честно

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","Well, honestly.

[е Subscribe to Gesture of the Day](https://t.me/zvoinaukraina)",,
30.0,"-Подождите, а что это у вас на носу?

-Сопля?

-Нет, Новый год!

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","- Wait, what's that on your nose?

-Snot?

- No, New Year's Eve!

[е Subscribe to Gesture of the Day](https://t.me/zvoinaukraina)",,
31.0,"**После смерти путина будет еще одна война с россией**, – Арестович.

__«У нас народ думает, что смерть путина – это конец всему. Абсолютно не так... Это будет хуже, чем с путиным».__

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","After the death of Putin, there will be another war with Russia, – Arestovich.

Our people think that Putin’s death is the end of everything. Absolutely not... It's going to be worse than Putin.

[е Subscribe to Gesture of the Day](https://t.me/zvoinaukraina)",,
32.0,"**Минобороны РФ сообщило в своем тг канале, что калибры никогда не закончатся.**

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","**The Russian Defense Ministry reported in its TG channel that the calibers will never end.**

[е Subscribe to Gesture of the Day](https://t.me/zvoinaukraina)",,
33.0,"Киевская область, удар украинской ракеты ПВО по жилому району, ранены 3 человека.","Kiev region, the strike of a Ukrainian air defense missile on a residential area, 3 people were wounded.",Yes,
34.0,"По Украине выпущено более 120 ракет — Подоляк. Сообщается о взрывах в Киеве, Львове, Харькове и Одессе.","More than 120 missiles were fired in Ukraine – Podolyak. Reported explosions in Kiev, Lviv, Kharkiv and Odessa.",Yes,
36.0,"«Володенька, взирвали только что наше ПВО. Хата, вроде, целая, там пи@здец». Украинка. О текущем положении дел.","“Volodenko, we just watched our air defense. Huta, I think, is whole, there's a pee. Ukrainian. On the current state of affairs.",Yes,
37.0,Украинская ракета ПВО приземлилась на жилой дом в Киевской области.,A Ukrainian air defense missile landed on a residential building in the Kiev region.,Yes,
38.0,"Украинские СМИ сообщают о взрывах в Киеве, в киевской области, в Одесской и Житомирской областях.","Ukrainian media reports about explosions in Kiev, in the Kiev region, in Odessa and Zhytomyr regions.",Yes,
39.0,"В Одессе🇺🇦 ночью демонтировали памятник Екатерине II.

Также был демонтирован памятник Суворову.

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","In Odessa at night dismantled the monument to Catherine II.

A monument to Suvorov was also dismantled.

[е Subscribe to Gesture of the Day](https://t.me/zvoinaukraina)",,
40.0,"Снова рубрика «Очаровательная Америка». 😍

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","It’s called “Charmful America” again.

[е Subscribe to Gesture of the Day](https://t.me/zvoinaukraina)",,
41.0,"В Красногорске мужчина перекрестился и пошел красть с ели, установленной в подъезде, новогодние украшения.

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","In Krasnogorsk, a man crossed himself and went to steal New Year’s decorations from a spruce installed in the entrance.

[е Subscribe to Gesture of the Day](https://t.me/zvoinaukraina)",,
42.0,"Чеченцы избили цыган за приставания к чеченке. Сначала они поставили виновных на колени для извинений, а потом избили.",Chechens beat Roma for molesting a Chechen woman. They first brought the guilty to their knees for an apology and then beat them.,Yes,
43.0,Очередное кладбище украинских военнослужащих.,Another cemetery of Ukrainian soldiers.,Yes,
46.0,"""Я хочу обратиться к русским из Казахстана. Вы понимаете, да, что вам некуда бежать? У нас обострятся межнациональные отношения до такой степени, и первыми, кого будут преследовать, это русские. Займите позицию проказахскую, учите казахский язык. Вот я казашка русскоязычная, но ко мне доверие есть, а вы русские, вам доверия не будет никакого. Именно у нас процесс преследования русских проявится с особой жестокостью. Куда вы побежите? Они побегут на север Казахстана, возьмут штыки и будут бороться против нас. Нам придётся пережить период, когда нам придётся формировать законы против русского населения"". __Казашка призвала русских в стране срочно учить казахский язык, либо их ждут преследования.","“I want to address the Russians from Kazakhstan. Do you realize, yes, that you have nowhere to run? Our interethnic relations will escalate to such an extent, and the first to be persecuted are the Russians. Take a pro-Kazakh position, learn the Kazakh language. Here I am a Russian-speaking Kazakh, but I have trust, and you are Russians, you will have no trust. It is here that the process of persecuting the Russians will manifest itself with particular cruelty. Where are you going? They will flee to the north of Kazakhstan, take bayonets and fight against us. We will have to go through a period when we will have to make laws against the Russian population.” Kazakh urged Russians in the country to urgently learn the Kazakh language, or they are waiting for persecution.",Yes,
,,,,
48.0,"1 видео: ""Гордон, пошёл ты на хуй!"", — президент ФК ""Ингулец"" Поворознюк пообещал ""вырвать кадык"" отцу украинской журналистики Дмитрию Гордону.","1 video: ""Gordon, fuck you!"", - the president of FC ""Ingulets"" Povoroznyuk promised to ""rip the admiral"" father of Ukrainian journalism Dmitry Gordon.",Yes,
,,,,
50.0,"**Тимура Бекмансурова, совершившего вооруженное нападение в Пермском классическом университет**е**, приговорили к пожизненному заключению.**

Такое решение озвучил судья, поставив точку в деле о стрельбе, в результате которой 20 сентября 2021 года погибли шесть человек и несколько десятков пострадали.

По версии СК, бывший студент начал думать о массовом убийстве ещё в школе. Он купил турецкое помповое ружьё и утром 20 сентября 2021 года пришёл к зданию Пермского государственного университета, где открыл прицельную стрельбу по людям. Бекмансуров застрелил 6 человек и ранил еще 40.

В своей последней речи Тимур просил не сажать его на пожизненное, ссылаясь на положительную характеристику с последнего места работы, и обещал отдавать компенсацию семьям погибших из своей пенсии по инвалидности.

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","**Timur Bekmansurov, who committed an armed attack at Perm Classical University**e, was sentenced to life imprisonment.**

This decision was voiced by the judge, putting an end to the shooting case, which on September 20, 2021 killed six people and injured several dozen.

According to the UK, the former student began to think about mass murder at school. He bought a Turkish pump shotgun and on the morning of September 20, 2021 came to the building of the Perm State University, where he opened targeted shooting at people. Bekmansurov shot 6 people and wounded 40 others.

In his last speech, Timur asked not to put him on life imprisonment, citing a positive characteristic from his last job, and promised to compensate the families of the victims from his disability pension.

[е Subscribe to Gesture of the Day](https://t.me/zvoinaukraina)",,
51.0,"Баффало, штат Нью-Йорк. Труп на улице. Чувак замерз насмерть.

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","Buffalo, New York. Body's outside. Dude froze to death.

[е Subscribe to Gesture of the Day](https://t.me/zvoinaukraina)",,
52.0,"Вкусно и точка

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","Delicious and period.

[е Subscribe to Gesture of the Day](https://t.me/zvoinaukraina)",,
53.0,"**Байден Валерьевич родился 1 декабря в Хмельницкой области**

Украинская семья дала имя своему новорожденному сыну — фамилию американского президента

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","**Biden Valerievich was born on December 1 in Khmelnytsky region**

Ukrainian family gave their newborn son the name of the American President

[е Subscribe to Gesture of the Day](https://t.me/zvoinaukraina)",,
54.0,"🇺🇦🇷🇺 Выключатель света

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","  Light switch

[е Subscribe to Gesture of the Day](https://t.me/zvoinaukraina)",,
55.0,"**«Ахмат сила»

**В Одессе на квартирной вечеринке Украинская молодежь обозначили, на чьей они стороне.

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","** Ahmat Force.

**In Odessa, at an apartment party, Ukrainian youth indicated whose side they were on.

[е Subscribe to Gesture of the Day](https://t.me/zvoinaukraina)",,
56.0,Новогодняя ёлочка в Узбекистане это отдельный вид искусства 🤩,New Year tree in Uzbekistan is a separate art form,,
57.0,"⚡️Сообщается, что в Харькове поврежден объект инфраструктуры

⚡️Также известно, что в Харькове остановилось метро.

**UPD. В Краматорске и Славянске взрывы

**[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","It is reported that in Kharkiv damaged infrastructure

 ️ It is also known that the metro stopped in Kharkiv.

**UPD. In Kramatorsk and Slavyansk explosions

**[ ] Subscribe to Gesture of the Day (https://t.me/zvoinaukraina)",,
58.0,"**В Кокшетау 15-летний малец разогнал бродячих собак, которые напали на кота.

**Хвостатый в тяжёлом состоянии — повреждены органы и лапки. Ему вкололи обезбол и кровоостанавливающие препараты

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","In Kokshetau, a 15-year-old boy dispersed stray dogs that attacked a cat.

** Tail in serious condition - damaged organs and legs. He was injected with anesthesia and hemostatic drugs.

[е Subscribe to Gesture of the Day](https://t.me/zvoinaukraina)",,
59.0,"В китайской провинции Чжэцзян за сутки коронавирусли заболело более миллиона человек

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","In the Chinese province of Zhejiang for the day coronavirus sickened more than a million people

[е Subscribe to Gesture of the Day](https://t.me/zvoinaukraina)",,
60.0,Почувствуй эту боль,Feel that pain,,
61.0,"В индийском штате Ассам леопард устроил охоту на людей.

Не менее 15 человек получили ранения.","In the Indian state of Assam, a leopard hunted people.

At least 15 people were injured.",,
62.0,"😕 На Западе появился какой-то ёбнутый тренд пугать своих детей Гринчем — сначала всё проходит мило, а потом залетает этот зелёный гоблин и отбирает у Санта-Клауса подарки, попутно пугая микрочелов

детская психика вышла из чата 🫡","  In the West, there was some fucking trend to scare their children Grinch - at first everything goes nice, and then this green goblin flies in and takes away gifts from Santa Claus, along the way scaring the micropeople.

Children's mentality left the chat та",,
63.0,"В Черноморске (Одесская область) на Рождество в храме мужик **напал с ножом на батюшку** во время богослужения и пытался пырнуть, его удалось задержать

**бес попутал**","In Chernomorsk (Odessa region) on Christmas in the temple, a man ** attacked his father with a knife** during the service and tried to stab him, he managed to detain him.

You're a fool",,
64.0,"Бахмут, вид от первого лица со стороны ВСУ 🇺🇦","Bakhmut, first-person view from the APU  ",,
65.0,"🇷🇺** Президент России Владимир Путин создал новую должность своего первого заместителя в военно-промышленной комиссии России.

**Пост заместителя президента в военно-промышленной комиссии займет **Дмитрий Медведев.

**Как считаете заслуженно Дмитрий Анатольевич получил такую важную должность?

👍 - Да Медведев идеально подходит на эту должность

👎 - Стоит рассмотреть другие варианты

🔥- Регулярно читаю Телеграм Медведева и считаю, что лучшего человека на эту должность не найти.

[**Не ZабыVай**](https://t.me/ne_zabivai) — Поздравляем с новой должность Дмитрий Анатольевич!"," ** Russian President Vladimir Putin has created a new position of his first deputy in the military-industrial commission of Russia.

**The post of deputy president in the military-industrial commission will be occupied by Dmitry Medvedev.

**Do you think Dmitry Anatolyevich deserved such an important position?

  - Yes, Medvedev is perfect for this position.

  - We should consider other options.

 - I regularly read Medvedev’s Telegram and believe that there is no better person for this position.

(https://t.me/ne_zabivai) - Congratulations on your new position Dmitry Anatolyevich!",,
66.0,"**Жена Криштиану Роналду подарила своему мужу** на Рождество Rolls Royce Dawn.

Его цена составляет примерно 428 тысяч баксов.","Cristiano Ronaldo's wife gave her husband a Rolls Royce Dawn for Christmas.

Its price is about 428 thousand dollars.",,
67.0,Шутка пошла не по плану,Шутка пошла не по плану,,
68.0,"🔞Раненый российский боец, чтобы не попасть в плен, подрывает себя гранатой.","Wounded Russian fighter, not to be captured, blows himself up with a grenade.",,
69.0,"**❗️🇺🇦Киевляне ночью устроили протесты против отключения электричества

**В соцсетях сообщили, что на месте протестов была стрельба. Обстоятельства неизвестны.","**Kiev residents staged protests against the power outage

**Social media reported that there was a shooting at the protest site. The circumstances are unknown.",,
70.0,"Подарок на фронт

Это глушитель ? 😁","Gift to the front

Is that a muffler",,
71.0,"**«Тварь, деньги выдай, соска йобана»

**В Одессе🇺🇦 пьяный мужик ломится в банк во время тревоги чтобы получить деньги, но всё оказывается не так просто, как он планировал","""Screature, give money, yoban's nipple""

In Odessa, a drunk man breaks into the bank during an alarm to get money, but everything is not as simple as he planned",,
72.0,"В Индии 19-летняя девушка заявила своему парню что пора женится, реакция вышла неадекватная. Еблана уже задержала полиция","In India, a 19-year-old girl told her boyfriend that it was time to get married, the reaction was inadequate. Eblan has already been detained by the police",,
73.0,Проукраинскую бабку🇺🇦 выкинули за шкирку из автобуса в Долгопрудном🇷🇺,Pro-Ukrainian grandmother was thrown by the skin of the bus in Dolgoprudny,,
74.0,"18+ В Нью-Йорке ночью уголёк перерезал горло рандомному прохожему

О чем говорил убийца и жертва останется загадкой","18+ In New York at night, a corner cut the throat of a random passerby

What the killer said and the victim will remain a mystery",,
75.0,Трюк не удался,The trick failed,,
76.0,"🇺🇦**Укропироман сжигает машины

**В Донецке неизвестный написал на машине с наклейкой Z - “за Бучу”, облил бензином и поджег.
Пиромана уже ищут.","Ukropyroman is burning cars

**In Donetsk, an unknown person wrote on a car with a Z sticker - ""for Butchu"", doused with gasoline and set fire to it.
They're looking for a pyroman.",,
77.0,Лайфхаки для новогодних праздников,Life hacks for New Year holidays,,
78.0,"🔞 В Узбекистане женщина опубликовала видео, на котором её невестка из села Жартеп избивает малолетнего ребёнка. Предположительно, в отместку мужу","  In Uzbekistan, a woman published a video in which her daughter-in-law from the village of Zhartep beats a young child. Presumably in revenge on her husband",,
79.0,"Легковушка сбила маму с тремя детьми на пешеходном переходе в Краснодаре. Всё произошло сегодня вечером на улице Просторная. По предварительным данным, у одного из детей серьёзные травмы после аварии.","Passenger hit a mother with three children at a pedestrian crossing in Krasnodar. It all happened tonight on Spacious Street. According to preliminary data, one of the children has serious injuries after the accident.",,
80.0,"**🤬 Ёбнутая мамаша из Екатеринбурга ЗАДУШИЛА ТРЁХ СВОИХ ДЕТЕЙ — ещё больший пиздец заключается в причине содеянного, по мнению этой твари, в детей вселился дьявол

**возраст детей 5 месяцев, 10 и 15 лет","**  A mother from Yekaterinburg strangled three of her children - even more fuck is the reason for what this creature believes, the devil infused the children

** age of children 5 months, 10 and 15 years",,
81.0,"Суровые жители района Патрокл во Владивостоке устроили самосуд над паркетником, припарковавшимся у мусорки, — прокололи колёса, исцарапали кузов и ""украсили"" пакетами с мусором.","Harsh residents of the Patroclus district in Vladivostok staged a lynching over a parquetman parked near the garbage can - pierced the wheels, scratched the body and ""decorated"" with bags of garbage.",,
82.0,"🇬🇧**Обычные будни в «счастливой» Европе

**В Лондоне мигранты до кровавых соплей толпой избили семейную пару за то, что те сказали туристам о мошенничестве со стороны мигрантов."," **Ordinary weekdays in ""happy"" Europe

In London, migrants beat a couple to death for telling tourists about migrant fraud.",,
83.0,"В Питере полицейские задержали 31-летнюю мать-закладчицу, которая несла с собой 5 килограмм мефедрона.

Дома у матери года обнаружили еще 322 готовых закладок весом 6 килограмм. Ранее она работала учителем ОБЖ, а теперь ей грозит до 20 лет тюрьмы по нескольким статьям.

Казалось бы всего-то яжемать","In St. Petersburg, police detained a 31-year-old mother-layer, who was carrying 5 kilograms of mephedrone.

Home mother of the year found another 322 ready-made bookmarks weighing 6 kilograms. She previously worked as an OBJ teacher, and now faces up to 20 years in prison on several counts.

Looks like it's just a jaw",,
84.0,Коротко о погоде на улице,Briefly about the weather outside,,
85.0,"В Киеве будут судить педофила, который развращал детей на камеру и продавал контент в даркнете. Самому младшему ребенку всего 5 лет, самому старшему — 15 лет.

При обыске по месту жительства полицейские обнаружили и изъяли около 15 ГБ порноконтента с участием несовершеннолетних. Известно, что он совершал действия сексуального характера в отношении 6-летней дочери сожительницы и дочери одного из соседей.

Педофилу грозит пожизненное заключение","A pedophile who corrupted children on camera and sold content on the darknet will be tried in Kiev. The youngest child is only 5 years old, the oldest is 15 years old.

During a search at the place of residence, police found and seized about 15 GB of porn content involving minors. It is known that he committed sexual acts against the 6-year-old daughter of a cohabitant and the daughter of one of the neighbors.

Pedophile faces life imprisonment",,
86.0,"Ой, фильтр слетел","Oh, the filter's off",,
87.0,🇺🇦 Группа ВСУ прочёсывает местность.,A group of APU is combing the area.,,
88.0,"❗️Ликвидирована украинская ДРГ, которая пыталась проникнуть в Брянскую область – ФСБ

Кадры не для слабоневных - боевики в количестве четырех штук были уничтожены. С собой у них были 4 бомбы на 40 кг в тротиловом эквиваленте и немецкие пистолеты-пулеметы SIG Sauer.","Liquidated Ukrainian DRG, which tried to enter the Bryansk region – FSB

Footage is not for the weak – the militants in the amount of four pieces were destroyed. They had 4 bombs per 40 kg in TNT and German SIG Sauer submachine guns.",,
89.0,"К важным новостям:

Киркорова обосрал кролик во время съемок новогодней передачи.

Спасибо за внимание","Important news:

Kirkorov shitted a rabbit during the filming of the New Year program.

Thank you very much",,
90.0,Что могло пойти не так?,What could have gone wrong?,,
91.0,Дед мороз на разных языках,Santa Claus in different languages,,
92.0,"👀 **Спойлер на 2023: **в Южной Корее по тревоге подняли вертолеты, истребители и ПВО** из-за дронов из Северной Кореи.

**Пишут, что беспилотники из КНДР **нарушили воздушное пространство Южной Кореи** и дошли до окрестностей Сеула. Это привело к приостановке гражданского авиасообщения.

Есть информация, что самолет КА-1, который отправили южнокорейцы, **потерпел крушение.**","**Spoiler for 2023: in South Korea on the alert raised helicopters, fighters and air defense** because of drones from North Korea.

**It is written that drones from the DPRK ** violated the airspace of South Korea ** and reached the vicinity of Seoul. This led to the suspension of civilian flights.

There is information that the aircraft KA-1, which was sent by the South Koreans, crashed",,
93.0,"В Узбекистане пацан не отвечал на звонки пахана и сидел в компьютерном клубе. Разъяренный Mr. Batya вычислил своего сына, побил его и ещё случайно ударил другого пацана по голове стулом.","In Uzbekistan, the boy did not answer the phone and sat in a computer club. Furious Mr. Batya tracked down his son, beat him and accidentally hit another kid in the head with a chair.",,
94.0,"**Таксист задушил 35-летнюю беременную женщину и спрятал её тело в овраге под Волгоградом

**35-летняя Ирина Богатырева пропала без вести в ночь с 14 на 15 октября текущего года в Тракторозаводском районе.
Известно, что она села в такси около подъезда, а водитель такси оказался последним, кто видел Ирину живой.

Тело Ирины нашли 23 декабря в овраге в Дубовском районе. В ходе допроса таксист признался, что задушил волгоградку на фоне неожиданно возникшей к ней неприязни.","Taxi driver strangled 35-year-old pregnant woman and hid her body in a ravine near Volgograd

**35-year-old Irina Bogatyreva went missing in the night from 14 to 15 October this year in Traktorozavodsk district.
It is known that she got in a taxi near the entrance, and the taxi driver was the last who saw Irina alive.

The body of Irina was found on December 23 in a ravine in the Dubovsky district. During the interrogation, the taxi driver admitted that he strangled the Volgograd woman against the background of an unexpected hostility to her.",,
95.0,Достойный подарок девушке к Новому году.,A worthy gift to a girl for the New Year.,,
96.0,**Ты и батя тащите стол 31 декабря:**,**You and Dad are taking the table on December 31:**,,
97.0,"**В России военные изобретатели предложили применить в отношении ВСУ межконтинентальные ракеты «Сатана»

**__📝____ «У нас есть чудо-оружие. Это гигантские межконтинентальные баллистические ракеты с боеголовками «Сатана», способные уничтожить весь мир. С их помощью запускаются спутники. Небольшое количество таких ракет сразу отсекает всю левобережную Украину и обрекает на уничтожение всю донбасскую группировку противника»__, — заявил старший научный сотрудник Академии военных наук Владимир Прохватилов.

✅ Он добавил, что предварительно предполагается заменить ядерные боеголовки на неядерные.","**In Russia, military inventors proposed to use against the APU intercontinental missiles “Satan”

""We have a miracle weapon."" These are giant intercontinental ballistic missiles with “Satan” warheads, capable of destroying the entire world. With their help, satellites are launched. A small number of such missiles immediately cut off the entire left-bank Ukraine and doom the entire Donbass group of the enemy to destruction, said Vladimir Prokhvatilov, a senior researcher at the Academy of Military Sciences.

  He added that it is planned to replace nuclear warheads with non-nuclear ones.",,
98.0,**Коротко о ситуации в Артёмовске (Бахмуте) со стороны ВСУ**,** Briefly about the situation in Artyomovsk (Bakhmut) from the AFU**,,
99.0,"⚡️ Средства ПВО в понедельник сбили на малой высоте при подлете к военному аэродрому ""Энгельс"" Саратовской области украинский беспилотник.

В результате падения его обломков 3 российских военных, находившихся на аэродроме, получили смертельные ранения. Авиатехника повреждений не получила.","Air defense on Monday shot down at a low altitude when approaching the military airfield “Engels” of the Saratov region Ukrainian drone.

As a result of the fall of its wreckage, 3 Russian soldiers who were at the airfield were fatally wounded. The aircraft was not damaged.",,
