Index,Post,Trans,Label,Type
50011,"‼️🇺🇦🏴‍☠️ **Сначала ты пишешь, что нужно «убивать как можно больше русских», потом не понимаешь, как попал в «ад»

**Украинский боевик Сергей Гнездилов рассказал, как на самом деле обстоят дела на фронте под Донецком, и взорвал соцсети.

«Мы шестой день в аду, наша артиллерия почти не отвечает, враг без проблем продавливает нашу линию обороны, мои сосуживцы мертвы», — пишет Гнездилов.

Может, не нужно было грозиться «убивать как можно больше русских»?
**Подробнее в статье на нашем **[сайте
](http://rusvesna.su/news/1659527956)** ****t.me/rusvesnasu**",,,
50012,"Украина жалуется, что российские войска затрофеили в Херсонской области ту самую ""легендарную"" баржу, которой перевозили ""кавуны"" (арбузы) из Херсона в Киев, что при Порошенко преподносилось как достижение, в том числе и в пику строительству Крымского моста.
В итоге - мост построили, баржи нет, кавунов нет, Херсона нет.",,,
50013,"**Памяти Ольги Качуры.

**Источник: https://t.me/milchronicles",,,
50014,Редкой души ТП. И кто ж ее в депутаты избрал- то?😂,,,
50015,"Безусловно, новая эскалация в Косово, и, скорее даже, на Балканах в целом, начнётся уже довольно скоро. 

Месяц, который удалось выторговать Белграду, это весьма условный, как видно по последним событиям, срок. Сейчас косовские власти начнут зачистки сербских активистов. И вполне вероятно, что до окончания оговорённого месяца они попытаются взять под полный контроль все сербские анклавы, чтобы в сентябре совершенно спокойно просто добить ситуацию. По крайней мере, именно такая схема выглядит наиболее логичной. 

Сербия будет вынуждена реагировать на действия властей Косово. И если даже Белград не решится на военный ответ (я уверен, что не решится, не вывезет), нестабильность ударит и по интересам Китая и Евросоюза. Да и России, чего уж. Косово - это изначально был англо-саксонский проект. Все местные политики, половина из которых полевые командиры и лидеры албанской ОПГ, были подконтрольны в первую очередь американцам. И по логике американцев, сейчас безусловно самое время чуть  чуть позажигать Балканы. 

Белград в текущем моменте остался один на один с косовской проблемой. Россия помочь объективно не сможет. Китай тоже (напомню, у Китая в Сербии серьёзные экономические интересы). Евросоюз всегда был на стороне Приштины, хотя вообще-то европейцам кормить албанскую мафию политически и экономически невыгодно. Однако, Европа не субъектна, и потому о выгоде давно не думает. 

Окончательно оторвать Косово от Сербии это нечто вроде визита Пелоси на Тайвань. Стоит три ~~копейки~~ цента, а эффектно вполне. Это такой способ показать, где чьё место. 

Проамериканское Косово проводит зачистку края от сербских активистов, отрезает все экономические и политические связи. 
И никто ничего не сделает в ответ. По мнению Вашингтона  это будет демонстрация того, что гегемон только один.
Другое дело, что в долгой перспективе это не принесёт ничего хорошего в первую очередь косоварам.

В Сербии очень сильна жажда реванша. И как ни странно, но в первую очередь эти настроения свойственны молодым людям. То есть тем людям, которых ЕС долго убеждал, что обмен Косово на евроинтеграцию это отличная штука. 

https://t.me/rybar/36587",,,
50016,"Многие сейчас пишут о том, что Китай не проиграл после визита Пелоси на Тайвань. Американские официальные лица мол и раньше посещали Тайбэй и Пекин не дурак, чтобы сбивать самолёт со старушкой Нэнси. Во этом абсолютно правильном рассуждении есть одна логическая ошибка. Все было бы верно, не разгони сам Пекин военную риторику. Поэтому так смешно и смотрятся нагромождение китайской военной техники (от танков до ЗУшек) в ближайших портах, полёты авиации, учения возле территориальных вод Тайваня. Американцы переиграли китайцев информационно, поймав их на пропаганде. Вот теперь и поглядим, чем ответит Китай, отвечать придётся в любом случае.",,,
50017,"Сбор помощи для армии ДНР.

**Подразделения:

**1. 9-й полк армии ДНР
2. 11-й полк армии ДНР

**Уже закуплено на раздачу**:

1. 67 тепловизоров 
2. 18 БПЛА 
3. 300 раций
4. Заказано 1000 пар берц
5. Заказано 1000 комплектов ""горки"" на флисе

**Помочь можно:

Сбербанк ****4274278022481868****
**Валентина К 

СБП подключено 
Сбер/ Альфа/ ВТБ Валентина К +79185778057
 
**Крипта**:

BTC  bc1q3pp7za3gjj6l92xg0tgzz93y0tdch4eh6mv7m4

LTC  ltc1qj6l2j2sv3awq0nmss0p38exvj06yr9w9a7v05q

ETH  0xeCD0954B88Bd8af038fF50211AF2dc167eE5fd87

USDT (TRC20)  TVcKPmYaDFJAJiLDuLCaYtiuJqUuz2dKjR

USDT (ERC20)  0xeCD0954B88Bd8af038fF50211AF2dc167eE5fd87
**Кто хочет собрать и отправить посылкой обращаться по номеру** 

+79889964626 (Вотсап/Телеграмм) 
+79185778057 (Вотсап/Телеграмм) 

https://t.me/katya_valya_dnr - отслеживать работу по закупкам и отправке грузов на фронт

**Спасибо всем, кто помогал и помогает фронту!**",,,
50018,"**🇺🇦🇷🇺Артиллерия НМ ДНР уничтожила орудие противника

**Бригада ""Кальмиус"" уничтожила артиллерийский тягач и гаубицу (предположительно - Д-20).

__Видео: ____@RtrDonetsk____

__@anna_news",,,
50019,"**Тайваньская промышленность по производству чипов пострадает из-за приостановки экспорта из материкового Китая

**Газета [China Daily приводит слова](http://global.chinadaily.com.cn/a/202208/03/WS62e9e98ca310fd2b29e7009f.html) бывшего вице-министра торговли КНР Вэй Цзяньго, о том, что приостановка экспорта природного песка из материкового Китая на Тайвань окажет влияние на производство чипов в Тайване.

Вэй Цзяньго в настоящее время является вице-президентом Китайского центра международных экономических обменов, сообщает  данные, что Тайвань в настоящее время потребляет около 90 миллионов тонн природного песка в год, треть из которых поставляются из материковой части Китая.

Природный песок, содержащий кремний, является важным сырьем для производства чипов, а Тайвань является крупным мировым поставщиком чипов, сказал Вэй.

Материковый Китай объявил о приостановке экспорта природного песка на Тайвань со среды, из-за визита на остров спикера палаты представителей США Нэнси Пелоси, кроме того, введены и другие ограничения.

**@pravda_gazeta**",,,
50020,"На видео 9-й полк ДНР работает по одному из самых мощных укрепрайонов украинской армии в районе Донецка. Артиллерия бьёт с разных точек. Неторопливо и точно — сейчас это важно, так как союзные войска обходят Авдеевку с другой стороны. Атаковать в лоб столь сильные позиции ВСУ не имеет смысла — есть вероятность понести потери в личном составе.

Видео: @milchronicles",,,
50021,"Перемалывание укрепрайона противника в Песках.
Нытье по поводу высоких потерь ВСУ при обороне Песок вчера докатилось до Зеленского.

https://t.me/RtrDonetsk/8118",,,
50022,"То, что сейчас происходит в Песках ( наши войска проламывают хорошо подготовленную оборону врага), лишний раз подтверждает правоту в том числе моих слов про артиллерию ВСУ. Как только всушники остаются без нее, их оборонительные порядки начинают рушиться, даже несмотря на численное превосходство в пехоте, насыщенность ПТУРАми,ББМ,стрелковкой всех видов и калибров. 

Под Песками украинская армия осталась без артиллерии ( судя по всему в Киеве понадеялись на хорошо подготовленные оборонительные рубежи и перекинули арту на другое направление), результат как говорится на лицо. Нечто похожее произошло и в Мариуполе. Огромный, хорошо подготовленный к обороне город с большим гарнизоном был взят Российской армией очень быстро. Да, у нас были ошибки, а у кого их не бывает, были ненужные потери, но в общем и целом операция по окружению и взятию Мариуполя прошла отлично и это стало возможным в том числе потому, что всушники не смогли использовать  в достаточном количестве  собственную артиллерию.",,,
50023,"⚡️**Молдавия нашла альтернативу – «российский газ заменит древесина ивы».**

Министр инфраструктуры и регионального развития Андрей Спыну: Ива - реальный источник альтернативной энергии. Ива является источником биомассы, из которой можно сделать еще одно топливо, которое может использоваться государственными учреждениями или гражданами.
Правительство ищет сейчас 100 гектаров земли для посадки большего количества ив. У нас есть партнер, мы обратились в министерство сельского хозяйства с просьбой определить землю для посадки такого растения. Это не для наступающей зимы, как быстро она не будет расти, она сможет вырасти в течение года, но мы находимся в тесном общении с новым министром сельского хозяйства, и я надеюсь, что в ближайшее время у нас будет ответ о земле площадью 100 гектаров.

Помороженный дебил Спыну вместо того, чтобы договариваться с Россией за газ решил засадить Молдову ивами — сказочный дол#оеб!",,,
50024,https://t.me/shalnyak/1576,,,
50025,"Хирургическая точность в работе ребят из группировки ""Victory"", действующих на Славянском направлении, позволяет нашим войскам приблизить день долгожданной победы.

@opersvodki",,,
50026,"Рубрика ""сКоты кораблядские""

На этот раз вас приветсвует Рыжик с военно-морской базы России в Тартусе 🤙🏻⚓

Однако, доброе утрррро!!!",,,
50027,"Вот мнение одного из влиятельных китайских спикеров: Россия - могучая военная держава, но экономический карлик; последнее обстоятельство лишает целесообразности стратегический союз Китая и России в ущерб отношениям Китая и Америки. Это было сказано пару месяцев назад. 

Пошли разговоры, что после начального этапа спецоперации мы ""просели"" в глазах китайцев. Возможно, их мнение о том, что мы великая военная держава было поколеблено, и если это так - старушка Пэлоси всё уравняла. 

Когда гордиев узел затянулся так, что не распутать  - России достало решимости извлечь меч и нанести удар. Это - по-русски. Китайцы тоже способны показать зубы, но пока предпочитают кривить рот в бессильной злобе, ограничиваясь громкими заявлениями и малозначимыми демонстрациями.",,,
50028,"**🇺🇦🇷🇺Последствия ракетного удара по Харькову

**Попаданием ракеты был уничтожен один из цехов, который ВСУ использовали для ремонта военной техники.

@anna_news",,,
50029,"**Герои спецоперации

**«__...У меня с собой был автомат с магазином пустым и одна граната. На второй день ко мне приехали нацисты на мотоцикле. Я когда услышал, что отрежут голову, понял, что если увижу нож, то уйдут со мной как бы. Я бы не дался, не сдался им...__»

Видео: @mod_russia",,,
50030,"**Уничтоженный ЗРК Бук ВСУ после удара ВС РФ.

**__Локация и дата съёмки неизвестна__",,,
50031,"**Фоторепортаж корреспондентов ****@anna_news**** из Стаханова

**https://t.me/anna_news/37365",,,
50032,"**Уничтожение военной техники ВСУ ""Аллигаторами"" Ка-52 ВКС России

**Видео: [@RVvoenkor](https://t.me/RVvoenkor/21778)",,,
50033,"**‼️🔥Ракетный удар нанесён по Харькову 
**Все ракеты преодолели ПВО и достигли целей, украинские противоракеты не смогли им помешать, над местами ударов поднимаются столбы дыма
**t.me/RVvoenkor**",,,
50034,"""Экстракшен""
Ожидание и реальность",,,
50035,"Удар РСЗО ВС РФ по району сосредоточения ВСУ в лесах Харьковской области.

Видео: [@razved_dozor](https://t.me/razved_dozor/1886)",,,
50036,"💥💥💥Нанесение ударов российской артиллерией по украинским позициям на Запорожском направлении.

❗️Предварительно погибли 6 офицеров и 20 солдат

[ИЗНАНКА](http://t.me/The_Wrong_Side) ★ t.me/The_Wrong_Side",,,
50037,"Немного позволю себе поправить Игоря Ивановича. Не то, чтобы возросла выучка артиллеристов, просто теперь они видят, куда падают их снаряды. Потому что, если со стороны ДНР при штурме Мариуполя были какие-то БПЛА, особенно в ОБТФ, то 68-й полк, 810-я бригада и 105, 102-й полки 150-й дивизии МО РФ наступали буквально в слепую. 

https://t.me/strelkovii/3040",,,
50038,"Бог Войны — русская артиллерия! 
На фронте от Марьинки до Авдеевки она планомерно разрушала уркаинские укрепы, хотя сделать это было непросто. В полосе наступления множество бетонных сооружений разных промышленных предприятий. 

Например, в Песках и под Спартаком — вентстволы шахты Бутовская. Один точный прилёт ФАБ-500 мог многое ""нарешать"" в разрушении тамошних вражеских укреплений, но почему-то этого делать не стали.

Про подавление вражеской арты авиацией, я вообще молчу, но объективно замечу, что на удивление, вражеская арта и вправду мало активна под Песками. [Противник это подтверждает](https://t.me/vladlentatarsky/15291). Бьют они редко и не точно, несмотря на то, что многие позиции без изменений уже 8 лет. Такое впечатление, как в Мариуполе, экономят снаряды и самих стволов немного. Тоже самое, кстати, происходит на одном из участков Угледарского направления.

С помощью НАТОвского вооружения хохлы могут наносить болезненные уколы, нанося удары по штабам и складам, но дать огненный вал на всех участках фронта уже не могут. Впрочем, из-за малого количества наступающей пехоты, мы не может воспользоваться преимуществом, который дарит нам бог войны.",,,
50039,"**Секретарь СНБО Данилов прокомментировал петицию о снятии запрета на выезд из Украины мужчин призывного возраста:

**__«‎Незачем прятаться за женской юбкой и бежать из страны. Не можете брать в руки оружие — помогайте другим способом. Это несправедливо, когда мужчины бегут во время войны».__

Напомню - Алексей Данилов аккуратно вывез из Украины всех своих сыновей призывного возраста.",,,
50040,"**Мэрия Алма-Аты провела казахско-украинский концерт против России
**
В зале «Алма-Ата Арена» бывшей столицы Казахстана [состоялся](https://www.politnavigator.net/v-kazakhstane-usilivaetsya-rusofobiya-vlasti-provodyat-koncerty-v-podderzhku-ukrainy.html) концерт «Voice of peace» («Голос мира»). Помещение было украшено жёлто-голубыми флагами, а концерт начался с минуты молчания по погибшим жителям Украины. Участвовали как украинские, так и казахские исполнители. Среди последних выделялся рэпер Адиль Жалелов (""Скриптонит""), ранее [пожертвовавший](https://rus.azattyq-ruhy.kz/culture/39258-kazakhstanskii-reper-skriptonit-pozhertvoval-ukraine-krupnuiu-summu) Украине 20 тысяч долларов. 

А Дмитрий Медведев в своём заявлении в VK, который он, конечно, не писал, был очень близок к истине. 

Но мы и дальше будем не замечать ненависть к России и русским в Казахстане. Будем и дальше позволять всяким рэперкам типа Коржа, Скриптонита и прочим постсоветским гастарбайтерам лить помои на наши головы и зарабатывать десятки миллионов в нашей стране. 

Клоуны.",,,
50041,"**‼️ВСУ наносят удары по Донецку, убивая и калеча мирных жителей

**Под огнём противника остаются несколько районов столицы ДНР. Прямым попаданием украинского снаряда в жилой дом по ул. Мудрова (Кировский район) была убита женщина 1962 г. р. 

На ул. Семашко и Шмидта после ударов ВСУ загорелись частные дома.

Подробнее в [статье](http://rusvesna.su/news/1659513040) 

t.me/rusvesnasu",,,
50042,"📹 **Военнослужащие мотострелкового соединения общевойсковой армии ЦВО, задействованные в спецоперации, смогли увидеться с родственниками в ходе телевизионного моста с поселком Тоцкое Оренбургской области.

**💬 Теплые слова поддержки своим коллегам сказали сослуживцы, пребывающие в пункте постоянной дислокации, а также юнармейцы и представители общественных организаций.",,,
50043,"⚡️Залужный просит Зеленского срочно вернуть на восточный фронт артиллерию, которую готовили для контрнаступления. Сейчас ВСУ сравнивают с землей в Песках/Авдеевке/Бахмуте/Соледаре/Северске, а контрбатарейной работы никто не ведёт, из-за требования Офиса Президента сорвать референдум в Херсонской и Запорожской области. Главнокомандующий ВСУ настаивает на сворачивание подготовки к контрнаступления и переходу к обороне, чтобы не потерять сейчас Донецкую область.",,,
50044,"США и ЕС на полном серьёзе хотят запугать экономическими санкциями русских, которые вчера расстроились из-за отмены ядерного апокалипсиса.",,,
50045,"Украинцы, вас не смущает формулировка? 

Сенатор США Линдси Грэм: Мне нравится путь, по которому мы идем. Пока мы помогаем Украине оружием, в котором она нуждается, она будут бороться до последнего человека.",,,
50046,"На видео 9-й полк ДНР работает по одному из самых мощных укрепрайонов украинской армии в районе Донецка. Артиллерия бьёт с разных точек. Неторопливо и точно — сейчас это важно, так как союзные войска обходят Авдеевку с другой стороны. Атаковать в лоб столь сильные позиции ВСУ не имеет смысла — есть вероятность понести потери в личном составе.",,,
50047,Кадры стрелкового боя штурмовой группы ДНР на Aвдеевском направлении.,,,
50048,"⚡️СМИ сообщают о стрельбе на территории сербской общины Зубин Поток в Косово. Полиция Косово проводит задержания.

Спецназ Косово проводит жёсткие задержания сербов, несмотря на достигнутое соглашение о временной деэскалации.",,,
50049,"**‼️🇷🇺Спецназ ""🅾️тважных"" поздравил десантно-штурмовые войска Украины с Днем ВДВ и ликвидировал один из их опорников на северском направлении

**ДШВ ВСУ (ранее высокомобильные десантные войска) потеряли опорный пункт, несколько своих боевиков, а также Джавелин, ПТРК ""Стугна"", гранатометы, пулеметы и прочую стрелкотню. #эксклюзив с фронта

**t.me/RVvoenkor**",,,
50050,"На Донецком фронте продолжаются ожесточенные бои - наши войска ""прогрызают"" долговременную оборону противника. По пока неподтвержденным данным, на вчерашний вечер было освобождено около 2/3 Марьинки, продолжалось продвижение в Песках.
Противника засыпают снарядами, но ""точку"" все равно приходится ставить пехоте. Естественно, есть потери, но их соотношение с потерями противника позволяет испытывать некоторый оптимизм: по сравнению со штурмом Мариуполя - несомненный прогресс (обороняющийся противник теряет людей в разы больше, чем наши наступающие подразделения), что говорит о возросшем уровне общего командования и выучки артиллеристов.",,,
50051,"⚡️Меркель и Штайнмайер приняли «мудрое решение» не допустить Украину в НАТО на саммите альянса в 2008 году, заявил экс-канцлер ФРГ Герхард Шредер",,,
50052,"Какой интересный артефакт…  
 Какой фашизм, о чем вы..🤦🏻‍♂️",,,
50053,"**Боевая работа экипажей многоцелевых ударных вертолетов Ми-28 армейской авиации Западного военного округа в ходе проведения специальной военной операции 

**◽️ Во время выполнения летчиками боевых заданий были уничтожены **опорные пункты и бронированная техника подразделений ВСУ.**",,,
50054,"**Министерство коммерции КНР сообщило о прекращении поставок природного песка на Тайвань с 3 августа**

Кроме того, власти материкового Китая приостановили импорт цитрусовых и двух видов рыбной продукции из Тайваня, а также ввели санкции против двух тайваньских фондов «за очернение КНР и поддержку сепаратизма».",,,
50055,"2 августа, Военная хроника. Главные события этого дня. 

@milchronicles",,,
50056,"Местные источники сообщают об обстрелах **Херсонской области** со стороны ВСУ. Взрывы слышны у Новой Каховки, Берислава и Чернобаевки, работают средства ПВО.
#Россия #Украина #Херсон

Источник: [@rybar](https://t.me/rybar/36582)",,,
50057,"**Сброс гранаты РГД-5 на позиции ВСУ. 

**Херсонско-Николаевское направление

Видео: [RVvoenkor](https://t.me/RVvoenkor/21835)",,,
50058,"**__Военный эксперт Борис Рожин об изменения за сутки на 23.45 мск 02.08.2022 г. в ходе специальной военной операции по денацификации и демилитаризации Украины специально для канала Vоенкор Котенок Z __****__@voenkorKotenok__****__:   
1.  
Пески. 
__**За счет массированного артиллерийского наступления и грамотных действий штурмовой пехоты, удалось зайти в поселок и завязать бои уже внутри поселка. Противник понес тяжелые потери в живой силе и технике, а также потерял ряд важных опорных пунктов. Потеря Песок серьезно осложнит положение ВСУ к югу от Авдеевки. 
**__2.  
Авдеевка. 
__**Позиционные бои к северу от поселка и в промзоне. Серьезного продвижения тут пока нет.
**__3.  
Артемовск. 
__**Войска продвигаются к Кодеме, также сообщается о взятии Майского. 
Бои на окраинах Артемовска. Попытка контратаки ВСУ на Покровское закончилось большими потерями противника и отходу на первоначальные позиции. 
Бои в районе Веселой Долины и Вершины.
**__4.  
Соледар. 
__**Бои на окраинах города, а также в районе Яковлевки и Белогоровки. В районе Северска без существенных изменений, здесь противник смог стабилизировать фронт.
**__5.  
Харьков. 
__**Сообщается о небольшом продвижении ВС РФ в районе Дементьевки и Байрака, но общий позиционный характер боев это не меняет.
Результаты ударов по Харькову и Чугуеву принесли ВС РФ богатый урожай.
**__6.  
Николаев. 
__**На фоне продолжающихся ударов ВС РФ по Николаеву, ВСУ продолжили обстреливать Херсон. 
На Криворожском направлении — бои на реке Ингулец. Противник там понес тяжелые потери среди резервистов и фольксштурма, которых используют как пушечное мясо для прощупывания первой линии обороны ВС РФ. На Никопольском направлении — без изменений.

@voenkorKotenok",,,
50059,"💥⚔️**«Они не ожидали от нас такой наглости» — прорыв Армии ДНР по минному полю на вражеские позиции под Авдеевкой

**🔥Впечатляющие кадры о штурме и взятии украинских укреплённых позиций под Авдеевкой — море огня и дыма, выжженная земля и проход по полю, которое боевики минировали 8 лет.

«Здесь было полностью заминировано, восемь лет это минировалось. Мы применили „Горыныч“ (УР-77) и сразу следом пошли. Они просто не ожидали такой наглости», — рассказывает боец с позывным «Фокс».

Этот укреплённый пункт уже зачищен, идёт наращивание сил для дальнейшего наступления — до Авдеевки осталось менее километра.

💪🇷🇺__Это Донбасс — Победа будет за нами!

__**t.me/rusvesnasu**",,,
50060,"Цифры, сводки, стрелки на карте и срочные новости дают фактаж, но не всегда помогают понять войну, атмосферу, людей. Семён Ерёмин делится своими впечатлениями от тех, кого увидел на вентстволе шахты Бутовской. И да, это спойлер будущего сюжета!",,,
50061,"Кстати, украинская пропаганда попала в собственную ловушку рассказав, что уничтожила Хаймарсами все склады БК в ДНР. Безумное стадо бросилось ставить памятник нерукотворный американскому комплексу РСЗО и совершать перед ним камлания, ожидая скорой перемоги. Теперь Зеленский вынужден рассказывать, как его сброд хоронят под Песками уничтоженными боеприпасами.",,,
